domain,scraped_url,company_name,num_employees,parent_company,annual_sales
bom.gov.au,www.bom.gov.au.ezproxy.library.tufts.edu,BUREAU OF METEOROLOGY,20,NA,61.21M
bostonglobe.com,www.bostonglobe.com,The Boston Globe LLC,2200,Ne Media Group Inc.,176.49M
bostonreview.net,www.bostonreview.net,"Boston Critic, Inc.",4,NA,0.72M
bournemouthecho.co.uk,www.bournemouthecho.co.uk,Daily Echo,7,NA,454.40K
breitbart.com,www.breitbart.com,"Breitbart News Network, LLC",60,NA,3.69M
bristolpost.co.uk,www.bristolpost.co.uk,EPOST INTERNATIONAL LTD,1,NA,1.89M
buffalonews.com,www.buffalonews.com,The Buffalo News Inc,900,"Lee Enterprises, Incorporated",139.41M
buienradar.nl,www.buienradar.nl,JCII B.V.,1,Stichting Administratiekantoor JCII,187.74K
bunte.de,www.bunte.de,Bunte Entertainment Verlag GmbH,98,BurdaVerlag GmbH,31.28M
businessinsider.com,www.businessinsider.com,BUSINESS INSIDER EUROPE LIMITED,80,NA,8.20M
businessinsider.com.au,www.businessinsider.com.au,Business Insider,3,NA,0.62M
buzzfeed.com,www.buzzfeed.com,BUZZFEED UK LIMITED,204,NA,17.40M
calgaryherald.com,www.calgaryherald.com,Calgary Herald,1,NA,417.17K
calgarysun.com,www.calgarysun.com,Calgary Sun- Calg,2,NA,0.61M
canarias7.es,www.canarias7.es,"INFORMACIONES CANARIAS, SA",100,NA,10.83M
canberratimes.com.au,www.canberratimes.com.au.ezproxy.library.tufts.edu,THE FEDERAL CAPITAL PRESS OF AUSTRALIA PTY. LIMITED,3350,REGIONAL PUBLISHERS PTY LTD,1.47B
capitalgazette.com,www.capitalgazette.com,Capital Gazette Communications Inc,425,NA,34.33M
cbc.ca,www.cbc.ca,Canadian Broadcasting Corporation,8112,Canadian Heritage,373.71M
cbsnews.com,www.cbsnews.com,CBS News Inc.,232,Paramount Global,25.75M
centredaily.com,www.centredaily.com,Nittany Printing and Publishing Company,1,Jck Legacy Company,253.40K
centrometeoitaliano.it,www.centrometeoitaliano.it,CENTRO METEO ITALIANO SRL,1,NA,0.61M
challenges.fr,www.challenges.fr,GROUPE CHALLENGE PNEUS,47,HOLDING SIMON,11.21M
chicagomaroon.com,www.chicagomaroon.com,Chicago Maroon,1,NA,277.49K
chicagoreader.com,www.chicagoreader.com,"CL Chicago, Inc.",1,"Sun-Times Media Holdings, LLC",2.71M
chicagotribune.com,www.chicagotribune.com,"Chicago Tribune Company, LLC",3070,Tribune Publishing Company,0.56B
christianpost.com,www.christianpost.com,The Christian Post,150,NA,16.14M
christiantoday.com,www.christiantoday.com,CHRISTIAN TODAY LIMITED,3,NA,89.13K
